tsn	completename
7586352	Homalodotherium
4829900	Homalodon
4829902	Homalodontotherium
4829899	Homalodontherium
4831310	Parendotherium
4831312	Plioprion
8441818	Victorlemoineia prototypica
8369524	Arctodictis
9519331	Victorlemoinea
9368181	Protomeryx halli
4835346	Dorcadotherium
8380395	Loncheres
4829118	Cercomys
4829117	Thricomys
3240696	Lonchophorus
9263128	Tataromys ulantatalensis
9273086	Karakoramys
8593035	Bounomys
4827536	Macrobates
4827537	Pongos
1210342	Lophotus
8343677	Satyrus
3239625	Faunus
4974879	Palaeodoedicurus
4833589	Collotaria
7401261	Callirhinus
3240112	Callorhynchus
4833580	Otoes
4833581	Calorhinus
4833579	Callotaria
5429003	Callirhinus
4833521	Atelocyon
4970151	Cynarctoides gawnae
8505298	Dusicyon sechurae
4833468	Epycyon
9503504	Ducicyon
4833522	Dasicyon
4833500	Crysocyon
4833520	Dusocyon
8488614	Plesiomiacis
7855978	Thrichomys laurentius
4262933	Phyllomys lundi
8976257	Dusicyon gymnocercus
8519299	Arctodictis munizi
8835423	Breviodon acares
4969870	Procynodictis vulpiceps
9422308	Toxodontherium reverendum
8579653	Paradelphomys fissus
4970175	Borophagus diversidens
4970174	Borophagus littoralis
9697994	Porthocyon matthewi
8520032	Eostyloceros hezhengensis
4835345	Dorcatherium naui
9465956	Pachycynodon harlowi
8599171	Parendotherium herreroi
8580257	Breviodon lumeiyiensis
8942067	Dasypus sexcinctus tucumanus
8600585	Desmatippus tyleri
4972096	Leptictis acutidens
8873607	Macroscelides peasei
8872642	Nyctinomus aegyptiacus
2435277	Acinonyx rex
9094700	Perodicticus ju-ju
8557346	Galago guineensis
8512798	Potto bosmannii
8690653	Perodicticus geoffroyi
2435661	Crocidura osorio
6163516	Dipodomys merriami brevinasus
4969947	Plesiogulo marshalli
8854608	Presbytis neglecta keatii
9529778	Ammotherium profundatum
5219646	Manis pusilla
4409345	Phoca barbata
7914835	Phoca leporina
7585959	Phoca parsonii
7193944	Erignathus barbatus barbatus
8142172	Phoca albigena
7369657	Phoca lepechenii
6163803	Erignathus barbatus nauticus
8611436	Brachymeryx feliceps
8695556	Hadroleptauchenia extrema
9501025	Pseudocyclopidius major
8462770	Pseudocyclopidius frankforteri
8586458	Cyclopidius emydinus
8637067	Leptauchenia densa
8485215	Cyclopidius simus
8508460	Hadroleptauchenia shanafeltae
8561803	Leptauchenia margeryae
4971561	Hexaprotodon hipponensis
8862653	Putorius ermineus ferghanae
4972397	Marmota minor
4266959	Pithecia monachus milleri
9098934	Vampyrops oratus
7436935	Vesperugo mordax
8813178	Rhinolophus klossi
8779904	Rhinolophus blythi calidus
5787427	Rhinolophus gracilis
9510461	Dorcatherium crassum
9346613	Phenacolemur fremontensis
9529876	Pongo tapanuliensis
8546603	Cynarctoides whistleri
8694755	Ursolestes perpetior
4970150	Cynarctoides luskensis
9162035	Bramapithecus thorpei
9242370	Postpithecus reflexus
8563391	Victorlemoineia labyrinthica
8743143	Dorcatherium aquaticum
8840451	Pampamys emmonsae
9234001	Dianomomys ambiguus
9296906	Triplopus amarorum
8513961	Toxodontherium compressum
8830365	Dorcatherium songhorensis
8452471	Bolodon hydei
8799305	Pongo borneo
4973932	Picturotherium migueli
9287331	Phenacodus europaeus
9007267	Dusicyon darwini
4970023	Daphoenus transversus
8513674	Eobasileus pressicornis
9534520	Uintatherium pressicornis
4266659	Lavia frons affinis
7261944	Lavia frons frons
4266661	Lavia frons rex
8527923	Nematherium lavagnanum
8594740	Kobus defassa
9491277	Palaearctomys vetus
4972395	Marmota vetus
8755848	Tylomys nudicaudus villai
7384844	Tylomys gymnurus
8775510	Tylomys nudicaudus nudicaudus
8890737	Tylomys nudicaudus gymnurus
9144294	Tylomys nudicaudus microdon
4262513	Madoqua saltiana saltiana
4262517	Madoqua saltiana hararensis
4262514	Madoqua saltiana phillipsi
4262520	Madoqua saltiana lawrancei
4262518	Madoqua saltiana swaynei
8782885	Noctilio leporinus rufescens
4265267	Noctilio leporinus leporinus
9289118	Ergilobia gobiensis
9567377	Cynarctus acridens
8841750	Dorcatherium maliki
4262925	Phyllomys kerri
4980992	Bolodon crassidens
8884926	Dusicyon proplatensis
4970185	Cormocyon copei
4942024	Habanocnus paulacoutoi
4941646	Callorhinus gilmorei
8644262	Patene campbelli
8441464	Patene simpsoni
9568625	Dorcatherium chappuisi
8480019	Panamacebus transitus
4983771	Habanocnus hoffstetteri
9308840	Canis filholi
8909961	Patene colhuapiensis
9257389	Anisolambda longidens
4970521	Dorcatherium vindobonense
4970520	Dorcatherium pigotti
9806307	Osteoborus crassipinaetus
4974913	Protoselene griphus
4972329	Alwoodia harkseni
8624809	Eocardia prisca
6164999	Heterohyrax brucei mossambicus
6165007	Heterohyrax brucei princeps
6164996	Heterohyrax brucei chapini
6164994	Heterohyrax brucei victorianjansae
6164992	Heterohyrax brucei pumilus
6164998	Heterohyrax brucei kempi
6164986	Heterohyrax brucei albipes
6164991	Heterohyrax brucei muenzneri
6164990	Heterohyrax brucei lademanni
6164985	Heterohyrax brucei ssongeae
6164988	Heterohyrax brucei dieseneri
6164987	Heterohyrax brucei bocagei
7194054	Heterohyrax brucei brucei
6165000	Heterohyrax brucei prittwitzi
6165005	Heterohyrax brucei hoogstraali
6165004	Heterohyrax brucei frommi
6165002	Heterohyrax brucei thomasi
4265201	Emballonura beccarii meeki
7261645	Emballonura beccarii beccarii
4265206	Emballonura beccarii clavium
