label	character_id	character_value
Aepyceros melampus	1	browser
Aepyceros melampus	1	grazer
Aepyceros melampus	2	the Afrotropics
Aepyceros melampus	3	hydroxylapatite
Aepyceros melampus	4	213
Aepyceros melampus	5	730
Aepyceros melampus	6	Pliocene Epoch
Aepyceros melampus	7	least concern
Aepyceros melampus	8	13.36
Aepyceros melampus	9	196.74
Aepyceros melampus	10	1.4
Aepyceros melampus	11	terrestrial habitat
Aepyceros melampus	12	198
Aepyceros melampus	13	841.64
Aepyceros melampus	14	1
Aepyceros melampus	15	viviparous
Aepyceros melampus	16	2.36
Aepyceros melampus	16	1.97
Aepyceros melampus	17	Holocene Epoch
Aepyceros melampus	18	365
Aepyceros melampus	18	365
Aepyceros melampus	19	25.6
Aepyceros melampus	20	1480.32
Aepyceros melampus	21	0
Aepyceros melampus	21	37.6
Aepyceros melampus	21	1
Aepyceros melampus	22	actively mobile
Aepyceros melampus	23	0.0043
Aepyceros melampus	24	shrubland
Aepyceros melampus	24	savanna biome
Aepyceros melampus	24	savanna
Aepyceros melampus	24	arid
Aepyceros melampus	24	mountain
Aepyceros melampus	24	scrubland
Aepyceros melampus	24	terrestrial
Aepyceros melampus	24	grassland
Aepyceros melampus	24	farm
Aepyceros melampus	24	woodland area
Aepyceros melampus	24	tropical
Aepyceros melampus	24	terrestrial habitat
Aepyceros melampus	25	456
Aepyceros melampus	25	395
Aepyceros melampus	25	498.97
Aepyceros melampus	26	herbivore
Aepyceros melampus	27	1420
Aepyceros melampus	28	Angola
Aepyceros melampus	28	Botswana
Aepyceros melampus	28	Ethiopia
Aepyceros melampus	28	Mozambique
Aepyceros melampus	28	Malawi
Aepyceros melampus	28	Kenya
Aepyceros melampus	28	Zimbabwe
Aepyceros melampus	28	Zambia
Aepyceros melampus	28	Uganda
Aepyceros melampus	28	Swaziland
Aepyceros melampus	28	South Africa
Aepyceros melampus	28	Indian Ocean
Aepyceros melampus	28	South Atlantic
Aepyceros melampus	29	fossorial and/or ground dwelling only
Aepyceros melampus	30	extant
Aepyceros melampus	31	leaves of herbaceous plants
Aepyceros melampus	31	leaves of woody plants
Aepyceros melampus	31	leaves
Aepyceros melampus	31	plants
Aepyceros melampus	32	14563.8
Aepyceros melampus	32	5238.4
Aepyceros melampus	32	52591.69
Aepyceros melampus	33	20.4
Aepyceros melampus	34	5.333
Aepyceros melampus	35	diurnal
Aepyceros melampus	36	3926868.66
Aepyceros melampus	37	protein
Aepyceros melampus	38	carbohydrate
Aepyceros melampus	39	167
Aepyceros melampus	39	150
Aepyceros melampus	40	-28.42
Aepyceros melampus	40	-12.91
Aepyceros melampus	40	2.58
Aepyceros melampus	41	73.05
Aepyceros melampus	42	Kaokoveld desert
Aepyceros melampus	42	Masai xeric grasslands and shrublands
Aepyceros melampus	42	Drakensberg montane grasslands, woodlands and forests
Aepyceros melampus	42	Angolan Mopane woodlands
Aepyceros melampus	42	Kalahari Acacia-Baikiaea woodlands
Aepyceros melampus	42	Itigi-Sumbu thicket
Aepyceros melampus	42	Eastern Miombo woodlands
Aepyceros melampus	42	Central Zambezian Miombo woodlands
Aepyceros melampus	42	Zambezian and Mopane woodlands
Aepyceros melampus	42	Southern Miombo woodlands
Aepyceros melampus	42	Serengeti volcanic grasslands
Aepyceros melampus	42	Northern Acacia-Commiphora bushlands and thickets
Aepyceros melampus	42	Southern Africa bushveld
