pantheria_tax_id	pantheria_char_id	pantheria_char_value
1	1	3.00
1	2	492714.47
1	6	1651.62
1	7	40293.00
1	8	407000.00
1	9	3.00
1	11	386.51
1	12	1.00
1	13	196.32
1	15	614.41
1	16	0.98
1	17	1.00
1	18	480.00
1	19	36751.19
1	21	0.98
1	22	11.00
1	23	1947.94
1	24	10.00
1	26	1.00
1	27	1
1	28	389.38
1	31	511;543;719;1274;1297;1594;1654;1822;1848;2655;3044
2	1	1.00
2	2	10392.49
2	4	745.32
2	9	6.00
2	10	329.99
2	11	65.00
2	12	1.00
2	13	1.01
2	14	1.01
2	16	4.50
2	18	137.00
2	21	0.74
2	23	249.88
2	25	8
2	26	1.00
2	27	2
2	28	52.89
2	31	542;543;730;1113;1297;1573;2655
2	36	10581413.14
2	37	16.72
2	38	-28.73
2	39	-6.00
2	40	43.55
2	41	-17.53
2	42	13.00
2	43	0
2	44	35.20
2	45	1.00
2	46	0.14
2	47	90.75
2	48	236.51
2	49	922.90
2	50	1534.40
3	1	2.00
3	2	9658.70
3	4	827.53
3	5	7.50
3	9	6.00
3	11	61.24
3	12	1.00
3	13	2.95
3	14	3.13
3	15	365.00
3	16	3.74
3	18	192.00
3	19	211.82
3	21	0.22
3	23	371.23
3	25	8
3	26	1.00
3	27	2
3	28	61.30
3	31	543;679;730;1113;1297;1573;2655
3	33	1.10
3	36	25739527.43
3	37	47.00
3	38	-4.71
3	39	21.14
3	40	108.54
3	41	-17.05
3	42	45.74
3	43	0
3	44	79.29
3	45	0.00
3	46	0.10
3	47	44.61
3	48	217.23
3	49	438.02
3	50	1358.98
4	1	2.00
4	2	11989.10
4	4	872.39
4	5	11.94
4	6	365.00
4	7	3699.00
4	8	10450.00
4	9	1.00
4	10	255.00
4	11	61.74
4	12	1.00
4	13	18.88
4	14	19.91
4	15	365.00
4	16	5.72
4	18	262.00
4	19	200.01
4	21	0.25
4	23	372.90
4	25	8
4	26	1.00
4	27	3
4	28	43.71
4	31	367;542;543;730;1113;1297;1573;1822;2655
4	33	1.10
4	36	17099094.30
4	37	71.39
4	38	8.02
4	39	39.70
4	40	-67.07
4	41	-168.12
4	42	-117.60
4	43	0
4	44	27.27
4	45	0.00
4	46	0.06
4	47	53.03
4	48	58.18
4	49	503.02
4	50	728.37
5	1	2.00
5	2	31756.51
5	4	1055.00
5	5	14.01
5	6	547.50
5	7	11254.20
5	8	33100.00
5	9	1.00
5	10	180.00
5	11	63.50
5	12	1.00
5	13	159.86
5	14	43.13
5	15	365.00
5	16	4.98
5	17	2.00
5	18	354.00
5	19	412.31
5	21	0.01
5	23	679.37
5	25	9
5	26	1.00
5	27	3
5	28	44.82
5	31	367;542;543;730;1015;1052;1113;1297;1573;1594;2338;2655
5	36	50803439.70
5	37	83.27
5	38	11.48
5	39	47.38
5	40	179.65
5	41	-171.84
5	42	3.90
5	43	0
5	44	37.87
5	45	0.00
5	46	0.04
5	47	34.79
5	48	4.82
5	49	313.33
5	50	561.11
6	1	2.00
6	2	800143.05
6	4	2700.00
6	9	3.00
6	11	273.75
6	15	403.02
6	16	1.22
6	17	1.00
6	18	314.40
6	19	22977.05
6	21	0.54
6	23	610.97
6	24	40.00
6	27	1
6	28	186.67
6	31	511;543;730;899;1297;1525;1848;2655;2986
6	36	2294331.63
6	37	28.01
6	38	2.86
6	39	15.43
6	40	108.68
6	41	73.55
6	42	91.12
6	43	1
6	44	152.67
6	45	8.00
6	46	0.09
6	47	145.21
6	48	229.71
6	49	1053.45
6	50	1483.02
7	2	500000.00
7	9	2.00
7	11	273.75
7	16	1.00
7	17	1.00
7	18	267.00
7	23	755.15
7	24	110.00
7	27	1
7	28	243.33
7	31	511;899;1297;1525;1848;2655
7	36	1523540.07
7	37	38.88
7	38	29.66
7	39	34.27
7	40	99.23
7	41	75.91
7	42	87.57
7	43	0
7	44	2.03
7	45	0.00
7	46	0.05
7	47	30.41
7	48	-59.31
7	49	246.20
7	50	732.74
8	1	2.00
8	2	635974.34
8	4	2075.00
8	6	912.50
8	9	2.00
8	11	296.78
8	12	1.00
8	16	1.22
8	17	1.00
8	18	318.96
8	21	0.75
8	22	21.00
8	23	797.31
8	24	40.00
8	26	1.00
8	27	1
8	28	287.74
8	31	511;730;899;1297;1525;1848;2152;2655
8	36	1687920.66
8	37	25.08
8	38	-8.78
8	39	8.15
8	40	118.35
8	41	94.94
8	42	106.64
8	43	1
8	44	139.21
8	45	4.00
8	46	0.11
8	47	187.69
8	48	239.18
8	49	1301.28
8	50	1592.26
9	1	3.00
9	2	1117.02
9	4	354.99
9	11	129.25
9	12	1.00
9	15	395.41
9	16	1.01
9	19	73.60
9	21	4.89
9	24	2.05
9	26	2.00
9	28	201.85
9	31	1544;1547;1605;1633;1848;2151;2251;2344;2655;2986
9	33	1.05
9	36	690923.14
9	37	-2.50
9	38	-10.67
9	39	-6.58
9	40	-61.59
9	41	-74.92
9	42	-68.25
9	43	0
9	44	1.07
9	45	0.00
9	46	0.05
9	47	196.01
9	48	255.36
9	49	1529.55
9	50	1573.18
11	1	3.00
11	2	897.67
11	12	1.00
11	16	1.02
11	24	1.00
11	26	2.00
11	31	1547;1605;1633;2151;2655
11	36	288759.02
11	37	-10.45
11	38	-21.29
11	39	-15.87
11	40	-57.52
11	41	-67.21
11	42	-62.37
11	43	0
11	44	3.63
11	45	0.00
11	46	0.17
11	47	108.93
11	48	244.32
11	49	1238.19
11	50	1469.11
12	1	3.00
12	2	992.40
12	12	1.00
12	16	1.02
12	24	1.00
12	26	2.00
12	31	1605;1633;2151;2655
13	1	3.00
13	2	1067.61
13	12	1.00
13	16	1.02
13	24	1.00
13	26	2.00
13	31	1547;1605;1633;2151;2655
13	36	98076.46
13	37	-1.95
13	38	-6.00
13	39	-3.97
13	40	-54.87
13	41	-59.21
13	42	-57.04
13	43	0
13	44	2.60
13	45	0.00
13	46	0.10
13	47	158.41
13	48	258.18
13	49	1417.63
13	50	1610.40
16	36	36587.57
16	37	0.95
16	38	-1.66
16	39	-0.35
16	40	-74.42
16	41	-76.71
16	42	-75.56
16	43	1
16	44	5.60
16	45	1.00
16	46	0.15
16	47	152.17
16	48	292.08
16	49	1435.56
16	50	1446.17
17	36	60497.71
17	37	-12.83
17	38	-18.16
17	39	-15.50
17	40	-38.72
17	41	-40.46
17	42	-39.59
17	43	7
17	44	46.93
17	45	11.00
17	46	0.08
17	47	137.48
17	48	232.78
17	49	1460.59
17	50	1650.42
18	1	3.00
18	2	992.40
18	12	1.00
18	16	1.02
18	24	1.00
18	26	2.00
18	31	1605;1633;2151;2655
18	36	17288.42
18	37	-14.25
18	38	-15.67
18	39	-14.96
18	40	-65.93
18	41	-67.39
18	42	-66.66
18	43	1
18	44	2.76
18	45	1.00
18	46	0.47
18	47	119.01
18	48	225.42
18	49	1432.14
18	50	1548.82
19	1	1.00
19	2	326.72
19	4	231.00
19	7	215.11
19	8	344.00
19	9	3.00
19	12	1.00
19	16	3.14
19	18	60.00
19	21	11.86
19	23	251.71
19	24	1.00
19	26	2.00
19	27	2
19	31	256;498;730;889;890;905;955;1297;1412;1822;2151;2655
19	36	678553.48
19	37	20.73
19	38	-2.92
19	39	8.90
19	40	-76.63
19	41	-98.33
19	42	-87.48
19	43	2
19	44	53.45
19	45	3.00
19	46	0.14
19	47	189.71
19	48	234.61
19	49	1341.70
19	50	1596.59
20	1	1.00
20	2	350.33
20	4	273.30
20	9	4.00
20	12	2.00
20	18	60.00
20	24	1.00
20	26	2.00
20	27	2
20	31	543;889;890;905;2151;2655
20	36	3683731.12
20	37	9.07
20	38	-28.10
20	39	-9.51
20	40	-53.20
20	41	-77.39
20	42	-65.29
20	43	0
20	44	5.36
20	45	0.00
20	46	0.13
20	47	175.31
20	48	245.59
20	49	1392.87
20	50	1501.45
21	1	1.00
21	2	246.47
21	4	224.27
21	5	75.00
21	6	334.58
21	9	4.00
21	11	23.99
21	12	2.00
21	13	9.960363e-03
21	14	0.02
21	15	166.50
21	16	4.18
21	17	2.00
21	18	76.00
21	19	0.20
21	20	10.00
21	21	62.32
21	23	314.52
21	24	1.00
21	25	7
21	26	2.00
21	27	2
21	28	119.65
21	29	23.00
21	31	133;256;543;730;889;890;905;955;1297;1533;1534;1573;1760;1773;2151;2159;2225;2431;2655
21	36	3212264.13
21	37	12.20
21	38	-24.58
21	39	-6.19
21	40	-40.35
21	41	-72.87
21	42	-56.61
21	43	0
21	44	39.68
21	45	0.00
21	46	0.12
21	47	144.03
21	48	239.14
21	49	1356.51
21	50	1583.70
22	1	1.00
22	2	257.48
22	4	234.52
22	9	3.00
22	12	1.00
22	16	2.00
22	18	94.00
22	21	8.85
22	24	1.00
22	26	2.00
22	27	2
22	31	543;730;889;905;1297;2151;2655
22	36	188864.44
22	37	-9.34
22	38	-12.69
22	39	-11.01
22	40	-61.99
22	41	-73.48
22	42	-67.73
22	43	0
22	44	3.51
22	45	0.00
22	46	0.27
22	47	189.96
22	48	246.03
22	49	1362.63
22	50	1563.51
23	2	129.99
23	4	157.50
23	9	4.00
23	12	2.00
23	18	144.00
23	26	1.00
23	27	2
23	31	543;890;899;2151;2655
23	36	1081453.80
23	37	-12.69
23	38	-29.92
23	39	-21.30
23	40	-56.47
23	41	-65.76
23	42	-61.11
23	43	0
23	44	4.33
23	45	0.00
23	46	0.12
23	47	87.68
23	48	228.45
23	49	1016.90
23	50	1327.63
24	2	554515.91
24	6	1460.00
24	9	2.00
24	11	397.99
24	12	1.00
24	15	730.00
24	16	1.39
24	17	1.00
24	18	480.00
24	19	34346.64
24	21	0.06
24	23	1330.60
24	24	6.20
24	26	1.00
24	27	1
24	28	368.13
24	31	511;543;600;719;899;1297;1848;2401;2655;2987
24	36	188693.00
24	37	44.71
24	38	37.98
24	39	41.34
24	40	97.58
24	41	90.75
24	42	94.17
24	43	0
24	44	1.83
24	45	0.00
24	46	0.01
24	47	9.94
24	48	53.72
24	49	66.85
24	50	612.43
25	1	2.00
25	2	791321.76
25	4	2175.00
25	9	2.00
25	12	1.00
25	23	755.15
25	24	20.00
25	26	1.00
25	27	1
25	31	511;899;1525;1848;2655
25	36	115557.18
25	37	15.48
25	38	12.04
25	39	13.76
25	40	107.85
25	41	102.98
25	42	105.42
25	43	2
25	44	36.95
25	45	3.00
25	46	0.12
25	47	170.36
25	48	251.45
25	49	1144.18
25	50	1581.73
26	2	618642.42
26	11	280.48
26	13	10.04
26	17	1.00
26	18	240.00
26	23	755.15
26	31	543;1052;1577;1594;1758;1848;2655
26	36	44447.62
26	37	15.08
26	38	11.85
26	39	13.46
26	40	108.99
26	41	107.08
26	42	108.04
26	43	2
26	44	42.48
26	45	3.00
26	46	0.15
26	47	174.94
26	48	228.73
26	49	1193.98
26	50	1450.23
27	2	182253.04
27	4	2000.00
27	6	912.50
27	9	5.00
27	11	248.49
27	15	400.50
27	16	1.39
27	18	260.40
27	19	5875.00
27	21	2.39
27	27	1
27	31	543;730;1297;1525;1848;2655;2986
27	33	1.05
27	36	2192564.81
27	37	33.00
27	38	11.71
27	39	22.35
27	40	87.08
27	41	68.93
27	42	78.00
27	43	2
27	44	313.30
27	45	76.50
27	46	0.09
27	47	86.66
27	48	247.40
27	49	750.64
27	50	1450.38
28	36	940177.90
28	37	42.86
28	38	35.46
28	39	39.16
28	40	102.85
28	41	77.15
28	42	90.00
28	43	0
28	44	5.36
28	45	0.00
28	46	0.05
28	47	17.27
28	48	68.34
28	49	79.67
28	50	681.81
29	1	2.00
29	2	8247.30
29	4	707.27
29	9	6.00
29	10	270.00
29	11	62.50
29	12	1.00
29	13	11.93
29	14	12.82
29	15	273.75
29	16	3.89
29	18	168.00
29	19	177.20
29	21	0.74
29	23	241.40
29	25	8
29	26	1.00
29	27	2
29	28	34.10
29	31	542;543;730;1113;1297;1573;2655
29	33	1.27
29	36	6248779.95
29	37	16.47
29	38	-34.83
29	39	-9.18
29	40	51.41
29	41	11.71
29	42	31.56
29	43	0
29	44	30.81
29	45	0.00
29	46	0.11
29	47	49.27
29	48	213.33
29	49	661.36
29	50	1468.10
30	1	3.00
30	2	14361.86
30	4	938.19
30	9	1.00
30	10	180.00
30	11	63.61
30	12	1.00
30	13	4.20
30	14	5.02
30	15	365.00
30	21	1.20
30	23	754.74
30	25	8
30	26	1.00
30	27	3
30	28	69.60
30	31	542;730;1113;1573;2655
30	33	1.10
30	36	11402.81
30	37	13.31
30	38	6.55
30	39	9.93
30	40	39.96
30	41	38.02
30	42	38.99
30	43	30
30	44	99.87
30	45	30.00
30	46	0.15
30	47	83.87
30	48	99.03
30	49	931.35
30	50	1471.36
31	2	472.07
31	7	172.00
31	8	344.00
31	11	41.49
31	16	2.00
31	18	48.00
31	28	50.10
31	31	543;1297;1822;2655
31	36	818286.00
31	37	27.85
31	38	11.82
31	39	19.83
31	40	105.88
31	41	84.65
31	42	95.26
31	43	4
31	44	86.50
31	45	9.00
31	46	0.07
31	47	159.67
31	48	213.64
